# GroceryView work queue (FLAT protocol). Producers take the FIRST unclaimed
# line. Each line: <ID> <product/path>: <specific change> | why: <...> | verify: <...>
# Seeded 2026-05-19 from ROADMAP.md Phase 1 (all P0 unless noted). Build to the
# ROADMAP "Definition of done" for each. Append new tasks at the END.

P1-MONOREPO apps/ packages/ workers/: scaffold the pnpm+turbo workspace so a clean clone installs and builds — root package.json scripts (build/lint/typecheck via turbo) resolve, shared tsconfig base, .gitignore, empty workspace package dirs with package.json stubs | why: apps/packages/workers are empty; nothing builds; this unblocks every other lane | verify: pnpm install && pnpm build && pnpm lint && pnpm typecheck all exit 0 from repo root
P2-WEB apps/web: scaffold Next.js 16.2+ App Router + TypeScript + Tailwind + shadcn/ui + TanStack Query; placeholder routes / , /products/[slug], /stores/[slug], /categories/[slug] | why: ROADMAP Phase1 "Web scaffold" P0 | verify: pnpm --filter web build succeeds; the four routes render
P3-API apps/api: scaffold NestJS + TypeScript with ConfigModule, Swagger/OpenAPI, global ValidationPipe, modules products/stores/prices/users/watchlists/baskets/alerts, GET /health | why: ROADMAP Phase1 "API scaffold" P0 | verify: pnpm --filter api build succeeds; GET /health 200; /api docs served
P4-DBSCHEMA infra/db: infra/db/migrations/*.sql + infra/db/SCHEMA.md for PG18 + PostGIS + pg_trgm — chains, stores, products, aliases, observations, latest_prices, users, watchlists, baskets, budgets, alerts, source_runs, raw_records, with price_type/confidence/observed_at/provenance columns | why: ROADMAP Phase1 "DB schema" P0; domain rule #1/#2 | verify: migrations apply on postgis/postgis:18; SCHEMA.md documents every table + provenance fields
P5-INFRA infra/docker-compose.yml: postgis/postgis:18-3.6 on 5432, redis:7-alpine on 6379, optional dpage/pgadmin4 on 5050, S3-compatible object storage; root .env.example documents DATABASE_URL + REDIS_URL | why: ROADMAP Phase1 "Local infrastructure" P0 | verify: docker compose config valid; .env.example has DATABASE_URL and REDIS_URL
P6-CONTRACTS packages/api-contracts: Zod DTOs + OpenAPI-compatible types for products, stores, prices, watchlists, baskets, alerts — price objects carry priceType, confidence, observedAt, sourceType, provenance | why: ROADMAP Phase1 "Shared contracts" P0; consumed by api+web | verify: package builds; types exported; price DTO has the provenance fields
P7-DATAWORKER workers/data-pipeline: Python + Dagster project with assets — seed stores/products, retailer fetch STUBS (no real scraping), normalization, price observations, latest-price rollup, quality checks | why: ROADMAP Phase1 "Data-worker scaffold" P0; out-of-scope says stubs only | verify: dagster dev starts; assets listed; fetch stubs emit provenance fields
P8-MOBILE apps/mobile: Expo SDK 55 + RN 0.83 + Expo Router + TS + TanStack Query + persisted cache; screens Today, Search, Product, Basket, Budget; camera/notifications placeholders | why: ROADMAP Phase1 "Mobile scaffold" P1 | verify: pnpm --filter mobile exists; expo export web/typecheck passes; 5 screens routable
P9-CI .github/workflows: keep release-validation.yml green as the monorepo grows — fix the first real build/lint/typecheck failure it surfaces | why: ROADMAP Phase1 "CI baseline" P1; GATE-FIRST | verify: Validate release-safe candidate green on main
P10-PRICEDISPLAY apps/web: product pages show current store prices, unit price, price type, confidence, source timestamp, member/promo labels — never imply an unverified price is the official shelf price | why: ROADMAP Phase2 "Price display" P0; domain rule #2 | verify: product page renders all fields + a visible "unverified/estimated" treatment for non-shelf types
P11-APIPRICES apps/api: REST/OpenAPI endpoints returning product terminal data, latest store prices, price observations, promotion observations, confidence labels | why: ROADMAP Phase2 "API price endpoints" P0 | verify: endpoints return typed api-contracts shapes incl. confidence/priceType
P12-CHARTS apps/web: TradingView Lightweight Charts on product pages — 7D/30D/90D/1Y, multi-store lines, promo markers, solid/dotted confidence styling | why: ROADMAP Phase2 "Charts" P0; core "TradingView for groceries" identity | verify: chart renders with ranges + multi-store + confidence styling
P13-SEED infra/db: seed scripts for ICA, Willys, Coop, Hemköp, Lidl, City Gross Stockholm stores + first 20 hero products | why: ROADMAP Phase2 "Store and product seeds" P0 | verify: seed runs; rows present; stores have coordinates
P14-DEALSCORE apps/api: Deal Score v1 — score band, buy/wait verdict, discount vs median, historical percentile, confidence, reasons; distance EXCLUDED from default ranking | why: ROADMAP Phase2 "Deal Score v1" P0; domain rule #3 | verify: unit test asserts distance never affects default score; output has all fields
P15-DBVALIDATE infra/db: add a container-backed migration verification script for infra/db/migrations and document exact postgis/postgis:18 apply commands | why: P4 shipped schema artifacts but this pane lacked docker/psql, so runtime apply needs repeatable repo-owned validation | verify: one command starts PostGIS, applies every infra/db migration with ON_ERROR_STOP=1, and exits nonzero on SQL failure
P16-DBCI infra/db .github/workflows: wire the migration verifier into release validation when Docker service support is available | why: verifier coverage should run continuously after schema and compose land, not only by hand | verify: release-validation runs the verifier or an equivalent PostGIS service-backed migration apply job
P17-DBSEEDVERIFY infra/db: extend database verification to apply infra/db/seeds/*.sql after migrations and assert seed counts | why: P13 adds catalog/store seeds, but runtime validation should prove rows and coordinates exist | verify: verifier applies migrations then seeds and checks 6 chains, 6 stores with non-null positions, and 20 products
P18-DATAWORKER-DAGSTER workers/data-pipeline: add a CI-safe Dagster definitions smoke check and document the exact `dagster dev -m groceryview_data_pipeline.definitions` verification path | why: P7 ships the data-worker assets and tests pure asset behavior, but Dagster dependency installation was slow in the shared pane and should be covered by a repeatable repo-owned smoke check | verify: one command installs the worker package, imports Dagster definitions, lists all seven assets, and fails if `dagster dev` cannot load the module
P19-DB-MIGRATIONPLAN packages/db: expose a typed helper that converts ordered SQL file paths into Migration objects with stable versions derived from file basenames | why: DB/API/worker lanes need a shared package-level contract for applying infra/db migrations without hardcoding SQL filenames | verify: packages/db tests cover lexical ordering, .sql filtering, basename version derivation, and migration SQL preservation
